cell_id,anomaly_label,cell_type,disease_category
CELL_005371,1,Hypersegmented_Neutrophil,Infection
CELL_005300,1,Hypersegmented_Neutrophil,Infection
CELL_000200,0,Neutrophil,Normal_WBC
CELL_003269,0,Normal_RBC,Normal_RBC
CELL_003505,0,Normal_RBC,Normal_RBC
CELL_005586,1,Reactive_Lymphocyte,Infection
CELL_002345,0,Monocyte,Normal_WBC
CELL_001612,0,Lymphocyte,Normal_WBC
CELL_005756,1,Smudge_Cell,Artefact
CELL_002202,0,Monocyte,Normal_WBC
CELL_001832,0,Lymphocyte,Normal_WBC
CELL_005361,1,Hypersegmented_Neutrophil,Infection
CELL_003318,0,Normal_RBC,Normal_RBC
CELL_003746,0,Platelet,Normal_Platelet
CELL_002863,0,Normal_RBC,Normal_RBC
CELL_003930,0,Platelet,Normal_Platelet
CELL_001651,0,Lymphocyte,Normal_WBC
CELL_003280,0,Normal_RBC,Normal_RBC
CELL_004086,1,Blast_Cell,Leukemia
CELL_003690,0,Normal_RBC,Normal_RBC
CELL_002689,0,Basophil,Normal_WBC
CELL_002641,0,Eosinophil,Normal_WBC
CELL_005435,1,Toxic_Granulation,Infection
CELL_000409,0,Neutrophil,Normal_WBC
CELL_002314,0,Monocyte,Normal_WBC
CELL_002136,0,Monocyte,Normal_WBC
CELL_002331,0,Monocyte,Normal_WBC
CELL_001254,0,Lymphocyte,Normal_WBC
CELL_002092,0,Monocyte,Normal_WBC
CELL_000997,0,Neutrophil,Normal_WBC
CELL_001040,0,Neutrophil,Normal_WBC
CELL_000222,0,Neutrophil,Normal_WBC
CELL_000024,0,Neutrophil,Normal_WBC
CELL_003050,0,Normal_RBC,Normal_RBC
CELL_001469,0,Lymphocyte,Normal_WBC
CELL_004773,1,Schistocyte,Anemia
CELL_004315,1,Prolymphocyte,Leukemia
CELL_003600,0,Normal_RBC,Normal_RBC
CELL_002708,0,Basophil,Normal_WBC
CELL_005204,1,Target_Cell,Anemia
CELL_002663,0,Basophil,Normal_WBC
CELL_002216,0,Monocyte,Normal_WBC
CELL_003159,0,Normal_RBC,Normal_RBC
CELL_000655,0,Neutrophil,Normal_WBC
CELL_005271,1,Hypersegmented_Neutrophil,Infection
CELL_002005,0,Monocyte,Normal_WBC
CELL_000878,0,Neutrophil,Normal_WBC
CELL_004083,1,Blast_Cell,Leukemia
CELL_004978,1,Spherocyte,Anemia
CELL_001216,0,Lymphocyte,Normal_WBC
CELL_004771,1,Schistocyte,Anemia
CELL_005446,1,Toxic_Granulation,Infection
CELL_002575,0,Eosinophil,Normal_WBC
CELL_004748,1,Schistocyte,Anemia
CELL_004790,1,Schistocyte,Anemia
CELL_001421,0,Lymphocyte,Normal_WBC
CELL_001700,0,Lymphocyte,Normal_WBC
CELL_005187,1,Target_Cell,Anemia
CELL_003818,0,Platelet,Normal_Platelet
CELL_002628,0,Eosinophil,Normal_WBC
CELL_004518,1,Elliptocyte,Anemia
CELL_002795,0,Basophil,Normal_WBC
CELL_001047,0,Neutrophil,Normal_WBC
CELL_000507,0,Neutrophil,Normal_WBC
CELL_001774,0,Lymphocyte,Normal_WBC
CELL_002527,0,Eosinophil,Normal_WBC
CELL_002104,0,Monocyte,Normal_WBC
CELL_002742,0,Basophil,Normal_WBC
CELL_004782,1,Schistocyte,Anemia
CELL_004699,1,Schistocyte,Anemia
CELL_002255,0,Monocyte,Normal_WBC
CELL_002719,0,Basophil,Normal_WBC
CELL_003787,0,Platelet,Normal_Platelet
CELL_004826,1,Schistocyte,Anemia
CELL_004611,1,Elliptocyte,Anemia
CELL_003810,0,Platelet,Normal_Platelet
CELL_004716,1,Schistocyte,Anemia
CELL_003470,0,Normal_RBC,Normal_RBC
CELL_003607,0,Normal_RBC,Normal_RBC
CELL_000784,0,Neutrophil,Normal_WBC
CELL_001644,0,Lymphocyte,Normal_WBC
CELL_002806,0,Normal_RBC,Normal_RBC
CELL_001336,0,Lymphocyte,Normal_WBC
CELL_004447,1,Prolymphocyte,Leukemia
CELL_002465,0,Eosinophil,Normal_WBC
CELL_003401,0,Normal_RBC,Normal_RBC
CELL_001895,0,Lymphocyte,Normal_WBC
CELL_000808,0,Neutrophil,Normal_WBC
CELL_001371,0,Lymphocyte,Normal_WBC
CELL_002837,0,Normal_RBC,Normal_RBC
CELL_001783,0,Lymphocyte,Normal_WBC
CELL_004676,1,Schistocyte,Anemia
CELL_001169,0,Lymphocyte,Normal_WBC
CELL_000813,0,Neutrophil,Normal_WBC
CELL_004445,1,Prolymphocyte,Leukemia
CELL_002852,0,Normal_RBC,Normal_RBC
CELL_000080,0,Neutrophil,Normal_WBC
CELL_001110,0,Lymphocyte,Normal_WBC
CELL_004874,1,Spherocyte,Anemia
CELL_001790,0,Lymphocyte,Normal_WBC
CELL_004454,1,Prolymphocyte,Leukemia
CELL_003962,0,Platelet,Normal_Platelet
CELL_000234,0,Neutrophil,Normal_WBC
CELL_003608,0,Normal_RBC,Normal_RBC
CELL_002896,0,Normal_RBC,Normal_RBC
CELL_003619,0,Normal_RBC,Normal_RBC
CELL_005075,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001804,0,Lymphocyte,Normal_WBC
CELL_004986,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_004827,1,Schistocyte,Anemia
CELL_001898,0,Lymphocyte,Normal_WBC
CELL_000747,0,Neutrophil,Normal_WBC
CELL_005185,1,Target_Cell,Anemia
CELL_005545,1,Toxic_Granulation,Infection
CELL_005652,1,Reactive_Lymphocyte,Infection
CELL_001345,0,Lymphocyte,Normal_WBC
CELL_001162,0,Lymphocyte,Normal_WBC
CELL_003086,0,Normal_RBC,Normal_RBC
CELL_002756,0,Basophil,Normal_WBC
CELL_004393,1,Prolymphocyte,Leukemia
CELL_004931,1,Spherocyte,Anemia
CELL_000297,0,Neutrophil,Normal_WBC
CELL_004231,1,Blast_Cell,Leukemia
CELL_004421,1,Prolymphocyte,Leukemia
CELL_001778,0,Lymphocyte,Normal_WBC
CELL_002374,0,Eosinophil,Normal_WBC
CELL_001789,0,Lymphocyte,Normal_WBC
CELL_005200,1,Target_Cell,Anemia
CELL_005642,1,Reactive_Lymphocyte,Infection
CELL_002523,0,Eosinophil,Normal_WBC
CELL_004476,1,Elliptocyte,Anemia
CELL_004074,1,Blast_Cell,Leukemia
CELL_000535,0,Neutrophil,Normal_WBC
CELL_003185,0,Normal_RBC,Normal_RBC
CELL_003126,0,Normal_RBC,Normal_RBC
CELL_001210,0,Lymphocyte,Normal_WBC
CELL_002188,0,Monocyte,Normal_WBC
CELL_004568,1,Elliptocyte,Anemia
CELL_003950,0,Platelet,Normal_Platelet
CELL_000627,0,Neutrophil,Normal_WBC
CELL_002604,0,Eosinophil,Normal_WBC
CELL_002459,0,Eosinophil,Normal_WBC
CELL_001738,0,Lymphocyte,Normal_WBC
CELL_005791,1,Smudge_Cell,Artefact
CELL_003797,0,Platelet,Normal_Platelet
CELL_000264,0,Neutrophil,Normal_WBC
CELL_000158,0,Neutrophil,Normal_WBC
CELL_002214,0,Monocyte,Normal_WBC
CELL_004579,1,Elliptocyte,Anemia
CELL_004511,1,Elliptocyte,Anemia
CELL_000961,0,Neutrophil,Normal_WBC
CELL_005546,1,Toxic_Granulation,Infection
CELL_000102,0,Neutrophil,Normal_WBC
CELL_001324,0,Lymphocyte,Normal_WBC
CELL_005418,1,Toxic_Granulation,Infection
CELL_003945,0,Platelet,Normal_Platelet
CELL_002648,0,Eosinophil,Normal_WBC
CELL_000908,0,Neutrophil,Normal_WBC
CELL_002717,0,Basophil,Normal_WBC
CELL_004565,1,Elliptocyte,Anemia
CELL_001039,0,Neutrophil,Normal_WBC
CELL_001648,0,Lymphocyte,Normal_WBC
CELL_001486,0,Lymphocyte,Normal_WBC
CELL_001104,0,Lymphocyte,Normal_WBC
CELL_003046,0,Normal_RBC,Normal_RBC
CELL_005559,1,Reactive_Lymphocyte,Infection
CELL_000178,0,Neutrophil,Normal_WBC
CELL_003461,0,Normal_RBC,Normal_RBC
CELL_003199,0,Normal_RBC,Normal_RBC
CELL_003816,0,Platelet,Normal_Platelet
CELL_001098,0,Neutrophil,Normal_WBC
CELL_002964,0,Normal_RBC,Normal_RBC
CELL_005849,1,Artefact,Artefact
CELL_005078,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002299,0,Monocyte,Normal_WBC
CELL_002860,0,Normal_RBC,Normal_RBC
CELL_001282,0,Lymphocyte,Normal_WBC
CELL_000157,0,Neutrophil,Normal_WBC
CELL_004596,1,Elliptocyte,Anemia
CELL_000427,0,Neutrophil,Normal_WBC
CELL_004935,1,Spherocyte,Anemia
CELL_001955,0,Monocyte,Normal_WBC
CELL_002390,0,Eosinophil,Normal_WBC
CELL_004206,1,Blast_Cell,Leukemia
CELL_004618,1,Elliptocyte,Anemia
CELL_005136,1,Target_Cell,Anemia
CELL_005748,1,Smudge_Cell,Artefact
CELL_003354,0,Normal_RBC,Normal_RBC
CELL_000531,0,Neutrophil,Normal_WBC
CELL_003847,0,Platelet,Normal_Platelet
CELL_004815,1,Schistocyte,Anemia
CELL_005343,1,Hypersegmented_Neutrophil,Infection
CELL_001521,0,Lymphocyte,Normal_WBC
CELL_003802,0,Platelet,Normal_Platelet
CELL_004379,1,Prolymphocyte,Leukemia
CELL_000133,0,Neutrophil,Normal_WBC
CELL_005818,1,Artefact,Artefact
CELL_000402,0,Neutrophil,Normal_WBC
CELL_000168,0,Neutrophil,Normal_WBC
CELL_001505,0,Lymphocyte,Normal_WBC
CELL_004100,1,Blast_Cell,Leukemia
CELL_003957,0,Platelet,Normal_Platelet
CELL_001544,0,Lymphocyte,Normal_WBC
CELL_001502,0,Lymphocyte,Normal_WBC
CELL_001624,0,Lymphocyte,Normal_WBC
CELL_003435,0,Normal_RBC,Normal_RBC
CELL_002313,0,Monocyte,Normal_WBC
CELL_001510,0,Lymphocyte,Normal_WBC
CELL_001563,0,Lymphocyte,Normal_WBC
CELL_002888,0,Normal_RBC,Normal_RBC
CELL_005260,1,Hypersegmented_Neutrophil,Infection
CELL_001331,0,Lymphocyte,Normal_WBC
CELL_000240,0,Neutrophil,Normal_WBC
CELL_000978,0,Neutrophil,Normal_WBC
CELL_001633,0,Lymphocyte,Normal_WBC
