cell_id,anomaly_label,cell_type,disease_category
CELL_005556,1,Reactive_Lymphocyte,Infection
CELL_001068,0,Neutrophil,Normal_WBC
CELL_003363,0,Normal_RBC,Normal_RBC
CELL_004085,1,Blast_Cell,Leukemia
CELL_005268,1,Hypersegmented_Neutrophil,Infection
CELL_000678,0,Neutrophil,Normal_WBC
CELL_001868,0,Lymphocyte,Normal_WBC
CELL_005104,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002116,0,Monocyte,Normal_WBC
CELL_002677,0,Basophil,Normal_WBC
CELL_003601,0,Normal_RBC,Normal_RBC
CELL_004840,1,Spherocyte,Anemia
CELL_005042,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001562,0,Lymphocyte,Normal_WBC
CELL_002466,0,Eosinophil,Normal_WBC
CELL_003584,0,Normal_RBC,Normal_RBC
CELL_000419,0,Neutrophil,Normal_WBC
CELL_004550,1,Elliptocyte,Anemia
CELL_001913,0,Lymphocyte,Normal_WBC
CELL_000699,0,Neutrophil,Normal_WBC
CELL_001625,0,Lymphocyte,Normal_WBC
CELL_002392,0,Eosinophil,Normal_WBC
CELL_004161,1,Blast_Cell,Leukemia
CELL_002405,0,Eosinophil,Normal_WBC
CELL_004135,1,Blast_Cell,Leukemia
CELL_000482,0,Neutrophil,Normal_WBC
CELL_002598,0,Eosinophil,Normal_WBC
CELL_004339,1,Prolymphocyte,Leukemia
CELL_002561,0,Eosinophil,Normal_WBC
CELL_000226,0,Neutrophil,Normal_WBC
CELL_001230,0,Lymphocyte,Normal_WBC
CELL_000480,0,Neutrophil,Normal_WBC
CELL_000471,0,Neutrophil,Normal_WBC
CELL_000484,0,Neutrophil,Normal_WBC
CELL_001983,0,Monocyte,Normal_WBC
CELL_003906,0,Platelet,Normal_Platelet
CELL_003228,0,Normal_RBC,Normal_RBC
CELL_001823,0,Lymphocyte,Normal_WBC
CELL_002635,0,Eosinophil,Normal_WBC
CELL_001987,0,Monocyte,Normal_WBC
CELL_004355,1,Prolymphocyte,Leukemia
CELL_000446,0,Neutrophil,Normal_WBC
CELL_000522,0,Neutrophil,Normal_WBC
CELL_000066,0,Neutrophil,Normal_WBC
CELL_000731,0,Neutrophil,Normal_WBC
CELL_004291,1,Prolymphocyte,Leukemia
CELL_000072,0,Neutrophil,Normal_WBC
CELL_005562,1,Reactive_Lymphocyte,Infection
CELL_004035,1,Blast_Cell,Leukemia
CELL_004329,1,Prolymphocyte,Leukemia
CELL_003041,0,Normal_RBC,Normal_RBC
CELL_002179,0,Monocyte,Normal_WBC
CELL_000272,0,Neutrophil,Normal_WBC
CELL_000041,0,Neutrophil,Normal_WBC
CELL_002929,0,Normal_RBC,Normal_RBC
CELL_004851,1,Spherocyte,Anemia
CELL_001366,0,Lymphocyte,Normal_WBC
CELL_005226,1,Target_Cell,Anemia
CELL_002725,0,Basophil,Normal_WBC
CELL_002128,0,Monocyte,Normal_WBC
CELL_001993,0,Monocyte,Normal_WBC
CELL_000013,0,Neutrophil,Normal_WBC
CELL_004836,1,Spherocyte,Anemia
CELL_005861,1,Artefact,Artefact
CELL_000140,0,Neutrophil,Normal_WBC
CELL_000661,0,Neutrophil,Normal_WBC
CELL_003211,0,Normal_RBC,Normal_RBC
CELL_001726,0,Lymphocyte,Normal_WBC
CELL_002569,0,Eosinophil,Normal_WBC
CELL_000198,0,Neutrophil,Normal_WBC
CELL_001787,0,Lymphocyte,Normal_WBC
CELL_003970,0,Platelet,Normal_Platelet
CELL_004237,1,Blast_Cell,Leukemia
CELL_001551,0,Lymphocyte,Normal_WBC
CELL_004792,1,Schistocyte,Anemia
CELL_003993,0,Platelet,Normal_Platelet
CELL_004531,1,Elliptocyte,Anemia
CELL_004936,1,Spherocyte,Anemia
CELL_003473,0,Normal_RBC,Normal_RBC
CELL_005612,1,Reactive_Lymphocyte,Infection
CELL_000025,0,Neutrophil,Normal_WBC
CELL_001374,0,Lymphocyte,Normal_WBC
CELL_000640,0,Neutrophil,Normal_WBC
CELL_000394,0,Neutrophil,Normal_WBC
CELL_005492,1,Toxic_Granulation,Infection
CELL_001385,0,Lymphocyte,Normal_WBC
CELL_000578,0,Neutrophil,Normal_WBC
CELL_002062,0,Monocyte,Normal_WBC
CELL_005843,1,Artefact,Artefact
CELL_002272,0,Monocyte,Normal_WBC
CELL_005255,1,Hypersegmented_Neutrophil,Infection
CELL_001094,0,Neutrophil,Normal_WBC
CELL_004070,1,Blast_Cell,Leukemia
CELL_000562,0,Neutrophil,Normal_WBC
CELL_005273,1,Hypersegmented_Neutrophil,Infection
CELL_004441,1,Prolymphocyte,Leukemia
CELL_001582,0,Lymphocyte,Normal_WBC
CELL_004853,1,Spherocyte,Anemia
CELL_001223,0,Lymphocyte,Normal_WBC
CELL_002888,0,Normal_RBC,Normal_RBC
CELL_000635,0,Neutrophil,Normal_WBC
CELL_003444,0,Normal_RBC,Normal_RBC
CELL_001350,0,Lymphocyte,Normal_WBC
CELL_001566,0,Lymphocyte,Normal_WBC
CELL_001280,0,Lymphocyte,Normal_WBC
CELL_001095,0,Neutrophil,Normal_WBC
CELL_002265,0,Monocyte,Normal_WBC
CELL_005080,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_003340,0,Normal_RBC,Normal_RBC
CELL_005231,1,Target_Cell,Anemia
CELL_000164,0,Neutrophil,Normal_WBC
CELL_003335,0,Normal_RBC,Normal_RBC
CELL_003498,0,Normal_RBC,Normal_RBC
CELL_000109,0,Neutrophil,Normal_WBC
CELL_003905,0,Platelet,Normal_Platelet
CELL_000645,0,Neutrophil,Normal_WBC
CELL_003403,0,Normal_RBC,Normal_RBC
CELL_002925,0,Normal_RBC,Normal_RBC
CELL_000159,0,Neutrophil,Normal_WBC
